s01	12	A single shipping container sits dead centre on an empty background, lit like a museum artifact on a plinth. Perfectly still and symmetrical. The container is the only orange object in frame. Locked-off camera, no movement.
s02a	17	Cross-section of a 1940s cargo ship hold. Dozens of charcoal silhouette figures hand-stack mismatched cargo: sacks, barrels, crates of every different size, loose timber. Deliberately chaotic, no two objects alike, no grid or order anywhere. Slow lateral camera drift left to right.
s02b	16	Continued cross-section of a crowded ship hold, charcoal silhouette dockworkers fitting irregular cargo by hand like puzzle pieces. Overlapping continuous motion, cluttered and disordered. Slow lateral camera drift.
s03	20	Wide side view of a cargo ship moored at a dock. A stylised sun arcs across the sky behind it repeatedly, the arcs speeding up. The ship itself does not move at all. Orange accent on the ship hull only. Locked-off camera.
s04a	23	A horizontal route diagram across the frame: a dock segment, then an open ocean segment, then another dock segment. The ocean segment is thin and pale. Both dock segments swell thick and orange until they dwarf the voyage between them. Locked-off camera.
s04b	22	A horizontal cost diagram where the two end segments are massive and orange and the long middle segment is thin and pale, emphasising that the edges cost more than the journey. Gentle pulsing on the thick segments. Locked-off camera.
s05	30	Side view: a truck parked beside a cargo ship. Charcoal silhouette figures carry goods out of the truck and into the ship one item at a time in a repeating loop. The walking figures fade to low opacity and the path they walk illuminates in orange, revealing redundant double handling. Locked-off camera.
s06	20	A converted tanker at a dock. One orange shipping container lifts smoothly from a truck chassis and lands on the deck. The camera pulls back steadily to reveal fifty-eight identical containers already aligned in a perfect grid. One smooth continuous pull-back, no cuts.
s07a	25	One orange shipping container at centre. Around it in a ring, five charcoal outline shapes: a crane, a ship slot, a truck chassis, a rail car, a port gate. Each shape in turn tries to accept the container and visibly fails to fit, too wide or too tall each time. Locked-off camera.
s07b	25	An orange container repeatedly failing to fit into mismatched charcoal outline receptacles of different proportions, each mismatch flashing briefly. Rhythmic, mechanical repetition. Locked-off camera.
s08a	25	Four shipping containers of visibly different dimensions sit in a row, each outlined in a different shade of charcoal. Measurement lines and dimension arrows extend from each, overlapping into a conflicting tangle. Locked-off camera.
s08b	25	A tangle of conflicting dimension lines slowly resolves as mismatched containers shrink away until exactly two remain, one short and one exactly twice its length. Both turn orange. The one-to-two length ratio reads instantly. Locked-off camera.
s09a	25	A single orange shipping container passes in one unbroken horizontal motion through charcoal silhouette systems: a crane, then a ship. Each accepts it without pausing or adjusting. Smooth, mechanical, rhythmic. Camera tracks alongside at constant speed.
s09b	25	A single orange shipping container continues in unbroken horizontal motion through a charcoal silhouette train and then a truck, each accepting it seamlessly. Hypnotic constant rhythm. Camera tracks alongside at constant speed.
s10a	23	A dense crowd of charcoal silhouette dockworkers fills the frame. One by one they fade out from the edges inward. No orange accent anywhere in this shot, only charcoal and off-white. Slow unhurried fades. Locked-off camera.
s10b	22	An almost empty dock, the last charcoal silhouette figures fading away until only a single automated crane moves alone in the frame. Entirely charcoal and off-white, no accent colour at all. Cold and still. Locked-off camera.
s11a	23	Three objects appear in sequence at the same centre position, each replacing the last with a clean cut: a screw thread, a wooden pallet, a railway track gauge. Each settles cleanly into a matching orange socket or receptacle. Locked-off camera.
s11b	22	An electrical plug appears at centre and does not fit its socket, sitting there unmatched and slightly askew while the socket stays stubbornly the wrong shape. Held long and unresolved. Locked-off camera.
s12	20	A single shipping container centred on a plinth, completely still, framed identically to an opening museum shot. Absolute stillness held throughout. Locked-off camera.
